Type-Aware?,Library,InFunction,name,line,column,IsFromParameter,HasTypeInfo,InferredType,TypeHint,DocString,MissingTypesOnPath,TypeOutsideOfPackage,Decrease,Increase,FoundType
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,conv2d,624,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,unsqueeze,625,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,convert_to_grayscale,625,16,No,Yes,Yes,No,No,No,No,-0,+0,['safeds/data/image/containers/_image/Image']
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,float,625,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,unsqueeze,625,66,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,Image,633,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,repeat,633,25,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,Image,635,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,cat,636,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,repeat,636,27,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,unsqueeze,636,57,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,unsqueeze,636,76,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,Image,640,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column._from_pandas_series.55.4,__new__,77,17,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column._from_pandas_series.55.4,_data_type,81,55,No,Yes,Yes,No,No,No,No,-0,+0,['safeds/data/tabular/typing/_column_type/ColumnType']
Yes,safeds,safeds.data.tabular.containers._column.__init__.89.4,isinstance,109,53,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__init__.89.4,Series,109,86,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__init__.89.4,rename,109,32,Yes,No,Yes,Yes,Yes,No,Yes,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__init__.89.4,_data_type,111,33,No,Yes,Yes,No,No,No,No,-0,+0,['safeds/data/tabular/typing/_column_type/ColumnType']
Yes,safeds,safeds.data.tabular.containers._column.__eq__.116.4,isinstance,143,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__eq__.116.4,equals,147,43,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__getitem__.155.4,IndexOutOfBoundsError,183,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__getitem__.155.4,isinstance,181,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__getitem__.155.4,IndexOutOfBoundsError,188,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__getitem__.155.4,IndexOutOfBoundsError,190,22,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__getitem__.155.4,rename,191,19,No,No,Yes,No,No,No,Yes,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__getitem__.155.4,rename,191,30,Yes,Yes,Yes,Yes,Yes,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__getitem__.155.4,reset_index,191,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__getitem__.155.4,reset_index,191,30,Yes,Yes,Yes,Yes,Yes,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__getitem__.155.4,_from_pandas_series,192,19,No,Yes,Yes,No,No,No,No,-0,+0,['safeds/data/tabular/containers/_column/Column']
Yes,safeds,safeds.data.tabular.containers._column.__getitem__.155.4,isinstance,186,11,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.__iter__.194.4,iter,213,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
