Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
Yes,safeds,safeds.data.tabular.containers._table,281,20,CallExpr,,,,2025-04-08 14:05:45.203361
Yes,safeds,safeds.data.tabular.containers._table,281,20,MemberExpr,,,,2025-04-08 14:05:45.204361
Yes,safeds,safeds.data.tabular.containers._table,281,30,CallExpr,,,,2025-04-08 14:05:45.204361
Yes,safeds,safeds.data.tabular.containers._table,281,30,MemberExpr,,,,2025-04-08 14:05:45.204361
Yes,safeds,safeds.data.tabular.containers._table,321,48,CallExpr,,,,2025-04-08 14:05:45.221740
Yes,safeds,safeds.data.tabular.containers._table,321,48,MemberExpr,,,,2025-04-08 14:05:45.222737
Yes,safeds,safeds.data.tabular.containers._table,333,31,CallExpr,,,,2025-04-08 14:05:45.224832
Yes,safeds,safeds.data.tabular.containers._table,333,31,MemberExpr,,,,2025-04-08 14:05:45.224832
Yes,safeds,safeds.data.tabular.containers._table,336,47,,,,,2025-04-08 14:05:45.225831
Yes,safeds,safeds.data.tabular.containers._table,376,31,CallExpr,,,,2025-04-08 14:05:45.249477
Yes,safeds,safeds.data.tabular.containers._table,376,31,MemberExpr,,,,2025-04-08 14:05:45.249477
Yes,safeds,safeds.data.tabular.containers._table,417,20,CallExpr,,,,2025-04-08 14:05:45.265891
Yes,safeds,safeds.data.tabular.containers._table,417,20,MemberExpr,,,,2025-04-08 14:05:45.266908
Yes,safeds,safeds.data.tabular.containers._table,417,30,CallExpr,,,,2025-04-08 14:05:45.266908
Yes,safeds,safeds.data.tabular.containers._table,417,30,MemberExpr,,,,2025-04-08 14:05:45.267907
Yes,safeds,safeds.data.tabular.containers._table,421,35,CallExpr,,,,2025-04-08 14:05:45.270977
Yes,safeds,safeds.data.tabular.containers._table,421,35,MemberExpr,,,,2025-04-08 14:05:45.272018
Yes,safeds,safeds.data.tabular.containers._table,486,15,CallExpr,,,,2025-04-08 14:05:45.280470
Yes,safeds,safeds.data.tabular.containers._table,486,15,MemberExpr,,,,2025-04-08 14:05:45.280470
Yes,safeds,safeds.data.tabular.containers._table,486,43,CallExpr,,,,2025-04-08 14:05:45.281488
Yes,safeds,safeds.data.tabular.containers._table,486,43,MemberExpr,,,,2025-04-08 14:05:45.281488
Yes,safeds,safeds.data.tabular.containers._table,811,17,CallExpr,,,,2025-04-08 14:05:45.338852
Yes,safeds,safeds.data.tabular.containers._table,811,17,MemberExpr,,,,2025-04-08 14:05:45.339851
Yes,safeds,safeds.data.tabular.containers._table,835,21,CallExpr,,,,2025-04-08 14:05:45.342943
Yes,safeds,safeds.data.tabular.containers._table,835,21,MemberExpr,,,,2025-04-08 14:05:45.342943
Yes,safeds,safeds.data.tabular.containers._table,835,40,CallExpr,,,,2025-04-08 14:05:45.343941
Yes,safeds,safeds.data.tabular.containers._table,835,40,MemberExpr,,,,2025-04-08 14:05:45.343941
Yes,safeds,safeds.data.tabular.containers._table,837,17,CallExpr,,,,2025-04-08 14:05:45.344942
Yes,safeds,safeds.data.tabular.containers._table,837,17,MemberExpr,,,,2025-04-08 14:05:45.344942
Yes,safeds,safeds.data.tabular.containers._table,837,28,CallExpr,,,,2025-04-08 14:05:45.345939
Yes,safeds,safeds.data.tabular.containers._table,837,28,MemberExpr,,,,2025-04-08 14:05:45.345939
Yes,safeds,safeds.data.tabular.containers._table,991,24,,,,,2025-04-08 14:05:45.393944
Yes,safeds,safeds.data.tabular.containers._table,996,79,MemberExpr,,,,2025-04-08 14:05:45.397958
Yes,safeds,safeds.data.tabular.containers._table,996,79,NameExpr,,,,2025-04-08 14:05:45.399090
Yes,safeds,safeds.data.tabular.containers._table,996,90,MemberExpr,,,,2025-04-08 14:05:45.399090
Yes,safeds,safeds.data.tabular.containers._table,996,90,NameExpr,,,,2025-04-08 14:05:45.399090
Yes,safeds,safeds.data.tabular.containers._table,1004,103,NameExpr,,,Any,2025-04-08 14:05:45.404186
Yes,safeds,safeds.data.tabular.containers._table,1057,24,,,,,2025-04-08 14:05:45.417420
Yes,safeds,safeds.data.tabular.containers._table,1091,26,,,,,2025-04-08 14:05:45.430755
Yes,safeds,safeds.data.tabular.containers._table,1093,56,CallExpr,,,,2025-04-08 14:05:45.431759
Yes,safeds,safeds.data.tabular.containers._table,1093,56,MemberExpr,,,,2025-04-08 14:05:45.431759
Yes,safeds,safeds.data.tabular.containers._table,1213,35,,,,,2025-04-08 14:05:45.470850
Yes,safeds,safeds.data.tabular.containers._table,1247,34,,,,,2025-04-08 14:05:45.474661
Yes,safeds,safeds.data.tabular.containers._table,1276,34,,,,,2025-04-08 14:05:45.477906
Yes,safeds,safeds.data.tabular.containers._table,1362,8,NameExpr,,,Any,2025-04-08 14:05:45.483849
Yes,safeds,safeds.data.tabular.containers._table,1362,19,CallExpr,,,,2025-04-08 14:05:45.483849
Yes,safeds,safeds.data.tabular.containers._table,1362,19,MemberExpr,,,,2025-04-08 14:05:45.484829
