Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Possible reason for no found functions,Date
Yes,matplotlib,matplotlib.axis,_init,2494,8,Yes,1,7,,self._init.(),"NamedType(name='YAxis', qname='matplotlib.axis.YAxis')",,2025-03-01 22:52:54.852126
Yes,matplotlib,matplotlib.backend_bases,__init__,173,8,No,0,342,Found no referenced functions,super.().__init__.(),matplotlib.backend_bases.RendererBase,,2025-03-01 22:52:54.857958
Yes,matplotlib,matplotlib.backend_bases,to_rgba,773,28,Yes,1,2,,colors.to_rgba.(),matplotlib.colors,,2025-03-01 22:52:54.866057
Yes,matplotlib,matplotlib.backend_bases,copy,1123,54,No,0,5,Found no referenced functions,callbacks.copy.(),"NamedType(name='None', qname='builtins.None')",MemberExpr:1123(  NameExpr(callbacks [l])  copy) no class with qname: builtins.None no fallback | ,2025-03-01 22:52:54.872311
Yes,matplotlib,matplotlib.backend_bases,__init__,1289,8,Yes,7,339,,super.().__init__.(),matplotlib.backend_bases.DrawEvent,,2025-03-01 22:52:54.878406
Yes,matplotlib,matplotlib.backend_bases,__init__,1309,8,Yes,7,339,,super.().__init__.(),matplotlib.backend_bases.ResizeEvent,,2025-03-01 22:52:54.884484
Yes,matplotlib,matplotlib.backend_bases,get_width_height,1310,34,No,0,0,Found no referenced functions,canvas.get_width_height.(),canvas,MemberExpr:1310(  NameExpr(canvas [l])  get_width_height) Type is Any No missing import name ,2025-03-01 22:52:54.887595
Yes,matplotlib,matplotlib.backend_bases,inverted,1361,24,No,0,24,Found no referenced functions,self.inaxes.transData.inverted.(),"NamedType(name='LocationEvent', qname='matplotlib.backend_bases.LocationEvent')","MemberExpr:1361(  NameExpr(self [l])  inaxes) Missing type info of: inaxes, at path part inaxes | ",2025-03-01 22:52:54.888613
Yes,matplotlib,matplotlib.backend_bases,transform,1362,31,No,0,4,Found no referenced functions,trans.transform.(),trans,MemberExpr:1362(  NameExpr(trans [l])  transform) Type is Any No missing import name ,2025-03-01 22:52:54.889595
Yes,matplotlib,matplotlib.backend_bases,__init__,1340,8,Yes,7,169,,super.().__init__.(),matplotlib.backend_bases.LocationEvent,,2025-03-01 22:52:54.895713
Yes,matplotlib,matplotlib.backend_bases,inaxes,1355,26,No,0,1,Found no referenced functions,self.canvas.inaxes.(),"NamedType(name='LocationEvent', qname='matplotlib.backend_bases.LocationEvent')","MemberExpr:1355(  NameExpr(self [l])  canvas) Missing type info of: canvas, at path part canvas | ",2025-03-01 22:52:54.896712
Yes,matplotlib,matplotlib.backend_bases,__init__,1432,8,Yes,3,154,,super.().__init__.(),matplotlib.backend_bases.MouseEvent,,2025-03-01 22:52:54.905966
Yes,matplotlib,matplotlib.backend_bases,__init__,1496,8,Yes,7,273,,super.().__init__.(),matplotlib.backend_bases.PickEvent,,2025-03-01 22:52:54.914244
Yes,matplotlib,matplotlib.backend_bases,update,1499,8,No,0,6,Found no referenced functions,self.__dict__.update.(),"NamedType(name='PickEvent', qname='matplotlib.backend_bases.PickEvent')","MemberExpr:1499(  NameExpr(self [l])  __dict__) Method __dict__ and Attribute __dict__ not found in class PickEvent and superclasses, at path part __dict__ | ",2025-03-01 22:52:54.915242
Yes,matplotlib,matplotlib.backend_bases,__init__,1535,8,Yes,3,159,,super.().__init__.(),matplotlib.backend_bases.KeyEvent,,2025-03-01 22:52:54.923502
Yes,matplotlib,matplotlib.backend_bases,_fix_ipython_backend2gui,1677,8,No,1,1,Found same amount of functions,self._fix_ipython_backend2gui.(),"NamedType(name='FigureCanvasBase', qname='matplotlib.backend_bases.FigureCanvasBase')",,2025-03-01 22:52:54.926500
Yes,matplotlib,matplotlib.backend_bases,set_canvas,1682,8,No,0,1,Found no referenced functions,figure.set_canvas.(),"NamedType(name='None', qname='builtins.None')",MemberExpr:1682(  NameExpr(figure [l])  set_canvas) no class with qname: builtins.None no fallback | ,2025-03-01 22:52:54.927499
Yes,matplotlib,matplotlib.backend_bases,__init__,1695,8,No,0,342,Found no referenced functions,super.().__init__.(),matplotlib.backend_bases.FigureCanvasBase,,2025-03-01 22:52:54.932577
Yes,matplotlib,matplotlib.backend_bases,mpl_connect,3026,25,No,0,1,Found no referenced functions,self.canvas.mpl_connect.(),"NamedType(name='NavigationToolbar2', qname='matplotlib.backend_bases.NavigationToolbar2')","MemberExpr:3026(  NameExpr(self [l])  canvas) Missing type info of: canvas, at path part canvas | ",2025-03-01 22:52:54.946139
Yes,matplotlib,matplotlib.backend_bases,mpl_connect,3028,27,No,0,1,Found no referenced functions,self.canvas.mpl_connect.(),"NamedType(name='NavigationToolbar2', qname='matplotlib.backend_bases.NavigationToolbar2')","MemberExpr:3028(  NameExpr(self [l])  canvas) Missing type info of: canvas, at path part canvas | ",2025-03-01 22:52:54.946139
Yes,matplotlib,matplotlib.backend_bases,mpl_connect,3030,24,No,0,1,Found no referenced functions,self.canvas.mpl_connect.(),"NamedType(name='NavigationToolbar2', qname='matplotlib.backend_bases.NavigationToolbar2')","MemberExpr:3030(  NameExpr(self [l])  canvas) Missing type info of: canvas, at path part canvas | ",2025-03-01 22:52:54.947137
Yes,matplotlib,matplotlib.backend_bases,set_history_buttons,3036,8,No,6,6,Found same amount of functions,self.set_history_buttons.(),"NamedType(name='NavigationToolbar2', qname='matplotlib.backend_bases.NavigationToolbar2')",,2025-03-01 22:52:54.948136
Yes,matplotlib,matplotlib.backend_bases,toolmanager_connect,3407,8,No,0,1,Found no referenced functions,toolmanager.toolmanager_connect.(),toolmanager,MemberExpr:3407(  NameExpr(toolmanager [l])  toolmanager_connect) Type is Any No missing import name ,2025-03-01 22:52:54.955365
Yes,matplotlib,matplotlib.backend_bases,toolmanager_connect,3410,8,No,0,1,Found no referenced functions,toolmanager.toolmanager_connect.(),toolmanager,MemberExpr:3410(  NameExpr(toolmanager [l])  toolmanager_connect) Type is Any No missing import name ,2025-03-01 22:52:54.956364
Yes,matplotlib,matplotlib.backend_bases,set_message,3409,26,Yes,6,12,,self.set_message.(),"NamedType(name='ToolContainerBase', qname='matplotlib.backend_bases.ToolContainerBase')",,2025-03-01 22:52:54.957361
Yes,matplotlib,matplotlib.backend_bases,remove_toolitem,3412,26,No,6,6,Found same amount of functions,self.remove_toolitem.(),"NamedType(name='ToolContainerBase', qname='matplotlib.backend_bases.ToolContainerBase')",,2025-03-01 22:52:54.958379
Yes,matplotlib,matplotlib.backend_managers,__init__,16,8,Yes,2,225,,super.().__init__.(),matplotlib.backend_managers.ToolTriggerEvent,,2025-03-01 22:52:54.966553
Yes,matplotlib,matplotlib.backend_managers,set_figure,60,8,Yes,1,11,,self.set_figure.(),"NamedType(name='ToolManager', qname='matplotlib.backend_managers.ToolManager')",,2025-03-01 22:52:54.970420
Yes,matplotlib,matplotlib.backend_tools,pop,197,24,No,0,0,Found no referenced functions,kwargs.pop.(),"DictType(key_type=NamedType(name='str', qname='builtins.str'), value_type=NamedType(name='Any', qname='typing.Any'))",MemberExpr:197(  NameExpr(kwargs [l])  pop) no class with qname: typing.Any no fallback | ,2025-03-01 22:52:54.974415
Yes,matplotlib,matplotlib.backend_tools,__init__,198,8,Yes,9,166,,super.().__init__.(),matplotlib.backend_tools.ToolToggleBase,,2025-03-01 22:52:54.978519
Yes,matplotlib,matplotlib.backend_tools,__init__,263,8,Yes,9,166,,super.().__init__.(),matplotlib.backend_tools.ToolSetCursor,,2025-03-01 22:52:54.984614
Yes,matplotlib,matplotlib.backend_tools,toolmanager_connect,268,8,No,0,1,Found no referenced functions,self.toolmanager.toolmanager_connect.(),"NamedType(name='ToolSetCursor', qname='matplotlib.backend_tools.ToolSetCursor')",MemberExpr:268(  NameExpr(self [l])  toolmanager) no class with qname: builtins.property no fallback | ,2025-03-01 22:52:54.987731
