matplotlib.testing.decorators.tearDownClass.45.4,Impure,,,"            f""'Spines' object does not contain a '{name}' spine"")",
matplotlib.testing.jpl_units.StrConverter.default_units.94.4,Pure,,,,
matplotlib.testing.jpl_units.UnitDbl.__abs__.80.4,Impure,,,,
matplotlib.testing.jpl_units.UnitDbl.__neg__.84.4,Impure,,,,
matplotlib.testing.jpl_units.UnitDbl.__repr__.123.4,Impure,,,,
matplotlib.text._get_rendered_text_width.677.4,Impure,,,,
matplotlib.text._get_xy_display.270.4,Impure,,,,
matplotlib.text.get_color.808.4,Impure,,,,
matplotlib.text.set_fontstyle.1083.4,Impure,,,,
matplotlib.ticker.__call__.568.4,Impure,,,,
matplotlib.ticker.format_eng.1423.4,Impure,,,,
matplotlib.ticker.ge.1949.4,Impure,,,,
matplotlib.ticker.set_view_interval.172.4,Impure,,,,
matplotlib.ticker.tick_values.1729.4,Impure,,,,
matplotlib.tight_layout.get_renderer.7.0,Impure,,,,
matplotlib.transforms.__init__.1087.4,Impure,,,,
matplotlib.transforms.__init__.2289.4,Impure,,,,
matplotlib.transforms.get_matrix.2315.4,Impure,,,,
matplotlib.transforms.interval_contains_open.2939.0,Pure,,,,
matplotlib.transforms.p1.984.4,Impure,,,,
matplotlib.transforms.transform_path_non_affine.2154.4,Pure,,,,
matplotlib.transforms.x0.254.4,Pure,property,,,
matplotlib.tri._trifinder._initialize.81.4,Impure,,,,
matplotlib.tri._triinterpolate.__str__.1271.4,Impure,,,,
matplotlib.tri._triinterpolate.compute_geom_weights.1107.4,Impure,,,,
matplotlib.tri._triinterpolate.get_function_values.674.4,Impure,,,,
matplotlib.widgets._press.2751.4,Impure,,,,
matplotlib.widgets._update_val_from_pos.852.4,Impure,,,,
matplotlib.widgets.set_frame_props.1161.4,Impure,,,,
,,,,,
,,,179,Impure,
,,,21,Pure,
,,,200,,
