Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Possible reason for no found functions,Date
Yes,seaborn,seaborn.categorical,add_legend_data,408,12,No,1,1,Found same amount of functions,self.add_legend_data.(),"NamedType(name='_CategoricalPlotterNew', qname='seaborn.categorical._CategoricalPlotterNew')",,2025-02-21 11:51:34.189822
Yes,seaborn,seaborn.categorical,legend,411,16,No,0,0,Found no referenced functions,ax.legend.(),ax,MemberExpr:411(  NameExpr(ax [l])  legend) Type is Any No missing import name ,2025-02-21 11:51:34.189822
Yes,seaborn,seaborn.categorical,variable_type,462,27,Yes,1,2,,variable_type.(),seaborn._oldcore.variable_type,,2025-02-21 11:51:34.192820
Yes,seaborn,seaborn.categorical,infer_orient,544,21,No,1,1,Found same amount of functions,infer_orient.(),seaborn._oldcore.infer_orient,,2025-02-21 11:51:34.192820
Yes,seaborn,seaborn.categorical,categorical_order,591,30,Yes,1,2,,categorical_order.(),seaborn._oldcore.categorical_order,,2025-02-21 11:51:34.193820
Yes,seaborn,seaborn.categorical,categorical_order,605,32,Yes,1,2,,categorical_order.(),seaborn._oldcore.categorical_order,,2025-02-21 11:51:34.194787
Yes,seaborn,seaborn.categorical,_group_longform,594,41,No,1,1,Found same amount of functions,self._group_longform.(),"NamedType(name='_CategoricalPlotter', qname='seaborn.categorical._CategoricalPlotter')",,2025-02-21 11:51:34.194787
Yes,seaborn,seaborn.categorical,_group_longform,608,43,No,1,1,Found same amount of functions,self._group_longform.(),"NamedType(name='_CategoricalPlotter', qname='seaborn.categorical._CategoricalPlotter')",,2025-02-21 11:51:34.194787
Yes,seaborn,seaborn.categorical,_group_longform,615,36,No,1,1,Found same amount of functions,self._group_longform.(),"NamedType(name='_CategoricalPlotter', qname='seaborn.categorical._CategoricalPlotter')",,2025-02-21 11:51:34.195787
Yes,seaborn,seaborn.categorical,get_color_cycle,666,30,No,1,1,Found same amount of functions,utils.get_color_cycle.(),seaborn.utils,,2025-02-21 11:51:34.205787
Yes,seaborn,seaborn.categorical,color_palette,668,25,No,1,1,Found same amount of functions,color_palette.(),seaborn.palettes.color_palette,,2025-02-21 11:51:34.206787
