Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Date
Yes,seaborn,seaborn._oldcore,categorical_mapping,148,39,Yes,1,2,,self.categorical_mapping.(),seaborn._oldcore.HueMapping,2025-01-15 01:26:25.084650
Yes,seaborn,seaborn._oldcore,categorical_mapping,157,39,Yes,1,2,,self.categorical_mapping.(),seaborn._oldcore.HueMapping,2025-01-15 01:26:25.084650
Yes,seaborn,seaborn._oldcore,__init__,307,8,Yes,4,30,,super.().__init__.(),seaborn._oldcore.SizeMapping,2025-01-15 01:26:25.101027
Yes,seaborn,seaborn._oldcore,infer_map_type,313,23,No,1,1,Found same amount of functions,self.infer_map_type.(),seaborn._oldcore.SizeMapping,2025-01-15 01:26:25.102029
Yes,seaborn,seaborn._oldcore,numeric_mapping,321,57,Yes,1,2,,self.numeric_mapping.(),seaborn._oldcore.SizeMapping,2025-01-15 01:26:25.103097
Yes,seaborn,seaborn._oldcore,categorical_mapping,329,39,Yes,1,2,,self.categorical_mapping.(),seaborn._oldcore.SizeMapping,2025-01-15 01:26:25.103097
Yes,seaborn,seaborn._oldcore,categorical_mapping,339,39,Yes,1,2,,self.categorical_mapping.(),seaborn._oldcore.SizeMapping,2025-01-15 01:26:25.104101
Yes,seaborn,seaborn._oldcore,__init__,530,8,Yes,4,30,,super.().__init__.(),seaborn._oldcore.StyleMapping,2025-01-15 01:26:25.106448
Yes,seaborn,seaborn._oldcore,variable_type,537,15,Yes,1,2,,variable_type.(),seaborn._oldcore.variable_type,2025-01-15 01:26:25.107536
Yes,seaborn,seaborn._oldcore,categorical_order,541,21,Yes,1,2,,categorical_order.(),seaborn._oldcore.categorical_order,2025-01-15 01:26:25.107536
Yes,seaborn,seaborn._oldcore,_map_attributes,543,22,No,1,1,Found same amount of functions,self._map_attributes.(),seaborn._oldcore.StyleMapping,2025-01-15 01:26:25.107536
Yes,seaborn,seaborn._oldcore,_map_attributes,546,21,No,1,1,Found same amount of functions,self._map_attributes.(),seaborn._oldcore.StyleMapping,2025-01-15 01:26:25.107536
Yes,seaborn,seaborn._oldcore,unique_markers,544,33,No,1,1,Found same amount of functions,unique_markers.(),seaborn._oldcore.unique_markers,2025-01-15 01:26:25.107536
Yes,seaborn,seaborn._oldcore,unique_dashes,547,32,No,1,1,Found same amount of functions,unique_dashes.(),seaborn._oldcore.unique_dashes,2025-01-15 01:26:25.108953
Yes,seaborn,seaborn._oldcore,MarkerStyle,555,24,No,0,1,Found no referenced functions,mpl.markers.MarkerStyle.(),matplotlib,2025-01-15 01:26:25.108953
Yes,seaborn,seaborn._oldcore,assign_variables,640,8,No,1,1,Found same amount of functions,self.assign_variables.(),seaborn._oldcore.VectorPlotter,2025-01-15 01:26:25.185408
Yes,seaborn,seaborn._oldcore,__init__,1466,8,No,0,30,Found no referenced functions,super.().__init__.(),seaborn._oldcore.VariableType,2025-01-15 01:26:25.187417
Yes,seaborn,seaborn._statistics,_check_argument,243,8,No,0,1,Found no referenced functions,_check_argument.(),seaborn.utils._check_argument,2025-01-15 01:26:25.188422
Yes,seaborn,seaborn._statistics,_check_argument,414,8,No,0,1,Found no referenced functions,_check_argument.(),seaborn.utils._check_argument,2025-01-15 01:26:25.188422
Yes,seaborn,seaborn._statistics,_validate_errorbar_arg,474,24,No,1,1,Found same amount of functions,_validate_errorbar_arg.(),seaborn._statistics._validate_errorbar_arg,2025-01-15 01:26:25.189427
Yes,seaborn,seaborn.external.docscrape,reset,66,8,No,1,1,Found same amount of functions,self.reset.(),seaborn.external.docscrape.Reader,2025-01-15 01:26:25.189427
Yes,seaborn,seaborn.external.docscrape,_parse,172,12,No,1,1,Found same amount of functions,self._parse.(),seaborn.external.docscrape.NumpyDocString,2025-01-15 01:26:25.190432
Yes,seaborn,seaborn.external.docscrape,__init__,590,8,Yes,3,19,,NumpyDocString.__init__.(),seaborn.external.docscrape.NumpyDocString,2025-01-15 01:26:25.566480
Yes,seaborn,seaborn.external.docscrape,get_func,593,30,No,1,1,Found same amount of functions,self.get_func.(),seaborn.external.docscrape.FunctionDoc,2025-01-15 01:26:25.566480
Yes,seaborn,seaborn.external.docscrape,splitlines_x,685,52,No,1,1,Found same amount of functions,splitlines_x.(),seaborn.external.docscrape.ClassDoc.splitlines_x,2025-01-15 01:26:25.570488
Yes,seaborn,seaborn.external.kde,set_bandwidth,210,8,No,1,1,Found same amount of functions,self.set_bandwidth.(),seaborn.external.kde.gaussian_kde,2025-01-15 01:26:26.323464
Yes,seaborn,seaborn.external.version,_parse_letter_version,229,16,No,1,1,Found same amount of functions,_parse_letter_version.(),seaborn.external.version._parse_letter_version,2025-01-15 01:26:26.325531
Yes,seaborn,seaborn.external.version,_parse_letter_version,230,17,No,1,1,Found same amount of functions,_parse_letter_version.(),seaborn.external.version._parse_letter_version,2025-01-15 01:26:26.326565
Yes,seaborn,seaborn.external.version,_parse_letter_version,233,16,No,1,1,Found same amount of functions,_parse_letter_version.(),seaborn.external.version._parse_letter_version,2025-01-15 01:26:26.326565
Yes,seaborn,seaborn.external.version,_parse_local_version,234,18,No,1,1,Found same amount of functions,_parse_local_version.(),seaborn.external.version._parse_local_version,2025-01-15 01:26:26.326565
Yes,seaborn,seaborn.external.version,_cmpkey,238,20,No,1,1,Found same amount of functions,_cmpkey.(),seaborn.external.version._cmpkey,2025-01-15 01:26:26.326565
Yes,seaborn,seaborn._core.data,_assign_variables,55,28,No,1,1,Found same amount of functions,self._assign_variables.(),seaborn._core.data.PlotData,2025-01-15 01:26:26.328952
Yes,seaborn,seaborn._core.plot,_resolve_positionals,208,30,No,1,1,Found same amount of functions,self._resolve_positionals.(),seaborn._core.plot.Plot,2025-01-15 01:26:26.328952
Yes,seaborn,seaborn._core.plot,join,212,64,No,0,0,Found no referenced functions,not_implemented.join.(),None,2025-01-15 01:26:26.328952
