Type-Aware,Library,FunctionId,Runtime of body analysis,Date
Yes,pandas,pandas/util/version/_BaseVersion/__gt__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/_BaseVersion/__ne__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/__init__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/__str__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/__repr__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/public,9.059906005859375e-05,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/base_version,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/epoch,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/release,0.0009984970092773438,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/pre,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/post,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/dev,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/local,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/is_prerelease,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/is_postrelease,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/LegacyVersion/is_devrelease,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/_parse_version_parts,0.0009984970092773438,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/_legacy_cmpkey,0.0021076202392578125,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/__init__,0.0009992122650146484,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/__repr__,0.00012993812561035156,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/__str__,0.0029985904693603516,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/epoch,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/release,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/pre,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/post,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/dev,0.0009989738464355469,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/local,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/public,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/base_version,0.0011320114135742188,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/is_prerelease,0.0009987354278564453,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/is_postrelease,0.00099945068359375,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/is_devrelease,0.0009987354278564453,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/major,0.0010972023010253906,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/minor,0.0017452239990234375,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/Version/micro,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/_parse_letter_version,0.003107786178588867,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/_parse_local_version,0.0010170936584472656,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/_cmpkey,0.0009992122650146484,2025-02-26 18:00:10.448797
Yes,pandas,pandas/errors/AbstractMethodError/__init__,0.0010190010070800781,2025-02-26 18:00:10.448797
