Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Date
No,Seaborn,Seaborn.matrix,_index_to_label,512,30,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.726585
No,Seaborn,Seaborn.matrix,_index_to_label,520,30,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.727584
No,Seaborn,Seaborn.matrix,format_data,710,22,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.733577
No,Seaborn,Seaborn.matrix,_matrix_mask,713,20,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.733577
No,Seaborn,Seaborn.matrix,figure,715,23,No,0,0,Found no referenced functions,,None,2025-01-17 10:59:34.734576
No,Seaborn,Seaborn.matrix,_preprocess_colors,718,12,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.735574
No,Seaborn,Seaborn.matrix,_preprocess_colors,720,12,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.735574
No,Seaborn,Seaborn.matrix,dim_ratios,732,23,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.736575
No,Seaborn,Seaborn.matrix,dim_ratios,735,24,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.736575
No,Seaborn,Seaborn.regression,establish_variables,107,8,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.740569
No,Seaborn,Seaborn.regression,dropna,112,12,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.741568
No,Seaborn,Seaborn.regression,regress_out,116,21,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.741568
No,Seaborn,Seaborn.regression,regress_out,118,21,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.742570
No,Seaborn,Seaborn.regression,bin_predictor,123,33,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.742570
No,Seaborn,Seaborn.relational,__init__,365,8,No,0,7,Found no referenced functions,,None,2025-01-17 10:59:34.751136
No,Seaborn,Seaborn.relational,square,535,27,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.754249
No,Seaborn,Seaborn.relational,__init__,538,8,No,0,7,Found no referenced functions,,None,2025-01-17 10:59:34.755754
No,Seaborn,Seaborn._oldcore,__init__,116,8,No,0,30,Found no referenced functions,,None,2025-01-17 10:59:35.205470
No,Seaborn,Seaborn._oldcore,infer_map_type,126,23,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:35.207467
No,Seaborn,Seaborn._oldcore,numeric_mapping,139,51,No,0,2,Found no referenced functions,,None,2025-01-17 10:59:35.207467
No,Seaborn,Seaborn._oldcore,categorical_mapping,148,39,No,0,2,Found no referenced functions,,None,2025-01-17 10:59:35.208466
