Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
sklearn,sklearn.preprocessing._label,506,7,OpExpr,bool,,OpExpr,2025-02-09 01:24:03.709103
sklearn,sklearn.preprocessing._polynomial,63,12,OpExpr,int,,OpExpr,2025-02-09 01:24:04.058209
sklearn,sklearn.preprocessing._polynomial,293,24,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:04.140751
sklearn,sklearn.semi_supervised.tests.test_label_propagation,209,12,OpExpr,float,,OpExpr,2025-02-09 01:24:12.664065
sklearn,sklearn.svm._base,202,12,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:13.116131
sklearn,sklearn.tests.test_docstrings,126,19,OpExpr,"UnionType[str, None]",,OpExpr,2025-02-09 01:24:18.488409
sklearn,sklearn.tests.test_dummy,600,8,OpExpr,int,,OpExpr,2025-02-09 01:24:19.465602
sklearn,sklearn.tests.test_metadata_routing,67,14,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:20.959215
sklearn,sklearn.tests.test_pipeline,133,16,OpExpr,None,,OpExpr,2025-02-09 01:24:24.655123
sklearn,sklearn.tree._export,551,26,OpExpr,int,,OpExpr,2025-02-09 01:24:27.268749
sklearn,sklearn.tree._export,558,26,OpExpr,int,,OpExpr,2025-02-09 01:24:27.272741
sklearn,sklearn.tree._export,625,68,OpExpr,int,,OpExpr,2025-02-09 01:24:27.300741
sklearn,sklearn.tree._export,628,69,OpExpr,int,,OpExpr,2025-02-09 01:24:27.305741
sklearn,sklearn.tree._export,689,25,OpExpr,int,,OpExpr,2025-02-09 01:24:27.365695
sklearn,sklearn.tree._export,717,66,OpExpr,int,,OpExpr,2025-02-09 01:24:27.406760
sklearn,sklearn.tree._export,1067,12,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:27.499874
sklearn,sklearn.tree._export,1086,25,OpExpr,int,,OpExpr,2025-02-09 01:24:27.524873
sklearn,sklearn.tree._export,1087,17,SliceExpr,int,,SliceExpr,2025-02-09 01:24:27.526873
sklearn,sklearn.tree._export,1087,37,OpExpr,int,,OpExpr,2025-02-09 01:24:27.526873
sklearn,sklearn.tree._export,1099,20,OpExpr,int,,OpExpr,2025-02-09 01:24:27.582878
sklearn,sklearn.tree._reingold_tilford,13,30,OpExpr,int,,OpExpr,2025-02-09 01:24:27.593225
sklearn,sklearn.tree._reingold_tilford,76,18,OpExpr,float,,OpExpr,2025-02-09 01:24:27.645701
sklearn,sklearn.tree._reingold_tilford,91,18,OpExpr,float,,OpExpr,2025-02-09 01:24:27.667673
sklearn,sklearn.tree._reingold_tilford,176,40,OpExpr,int,,OpExpr,2025-02-09 01:24:27.795945
sklearn,sklearn.utils.extmath,436,15,OpExpr,int,,OpExpr,2025-02-09 01:24:35.574402
sklearn,sklearn.utils.extmath,632,25,OpExpr,str,,OpExpr,2025-02-09 01:24:35.625402
sklearn,sklearn.utils.graph,156,20,OpExpr,str,,OpExpr,2025-02-09 01:24:36.069674
sklearn,sklearn.utils.optimize,210,7,OpExpr,bool,,OpExpr,2025-02-09 01:24:36.590568
sklearn,sklearn.utils.optimize,256,31,OpExpr,None,,OpExpr,2025-02-09 01:24:36.604568
sklearn,sklearn.utils.sparsefuncs,560,15,OpExpr,None,,OpExpr,2025-02-09 01:24:37.118177
sklearn,sklearn.utils.stats,69,11,ConditionalExpr,int,,ConditionalExpr,2025-02-09 01:24:37.257547
sklearn,sklearn.utils.validation,107,7,OpExpr,bool,,OpExpr,2025-02-09 01:24:37.288549
sklearn,sklearn.utils.validation,152,24,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:37.332546
sklearn,sklearn.utils.validation,154,28,ConditionalExpr,str,,ConditionalExpr,2025-02-09 01:24:37.338545
sklearn,sklearn.utils.validation,154,28,OpExpr,str,,OpExpr,2025-02-09 01:24:37.339548
sklearn,sklearn.utils.validation,156,11,OpExpr,None,,OpExpr,2025-02-09 01:24:37.345547
sklearn,sklearn.utils.validation,952,11,OpExpr,bool,,OpExpr,2025-02-09 01:24:37.729409
sklearn,sklearn.utils.validation,1187,7,OpExpr,bool,,OpExpr,2025-02-09 01:24:37.813941
sklearn,sklearn.utils.validation,1462,29,OpExpr,None,,OpExpr,2025-02-09 01:24:37.932227
sklearn,sklearn.utils._encode,66,7,OpExpr,bool,,OpExpr,2025-02-09 01:24:38.674152
sklearn,sklearn.utils._encode,308,19,OpExpr,bool,,OpExpr,2025-02-09 01:24:38.859828
sklearn,sklearn.utils._estimator_html_repr,90,22,ConditionalExpr,bool,,ConditionalExpr,2025-02-09 01:24:38.963828
sklearn,sklearn.utils._plotting,58,15,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:40.188567
sklearn,sklearn.utils._response,83,24,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:40.604728
sklearn,sklearn.utils._testing,622,13,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:41.022372
sklearn,sklearn.utils.tests.test_random,143,12,OpExpr,int,,OpExpr,2025-02-09 01:24:46.254355
sklearn,sklearn.utils.tests.test_random,160,12,OpExpr,int,,OpExpr,2025-02-09 01:24:46.272350
sklearn,sklearn.utils.tests.test_shortest_path,44,24,OpExpr,int,,OpExpr,2025-02-09 01:24:46.948186
